LINE_NUMBER,ZONE_NUMBER,TIME_RANGE,DIRECTION,TOTAL_OPERATING_COST,FARE_COLLECTED,FAREBOX_RECOVERY,SIGN_ON_DATE,COUNTY,TYPE
111,1,2 - AM Peak,Outbound,0.00,0.00,0.00,7/3/2013 0:00:00,New York,Interstate
111,1,3 - Mid Day,Inbound,408.18,321.96,79.00,7/3/2013 0:00:00,New York,Interstate
111,1,3 - Mid Day,Outbound,0.00,0.00,0.00,7/3/2013 0:00:00,New York,Interstate
111,1,4 - PM Peak,Inbound,526.93,580.37,110.00,7/3/2013 0:00:00,New York,Interstate
111,1,4 - PM Peak,Outbound,0.00,0.00,0.00,7/3/2013 0:00:00,New York,Interstate
111,1,5 - Evening,Inbound,144.72,345.48,239.00,7/3/2013 0:00:00,New York,Interstate
111,2,2 - AM Peak,Outbound,178.11,515.70,290.00,7/3/2013 0:00:00,Hudson,Interstate
111,2,3 - Mid Day,Inbound,760.71,261.85,34.00,7/3/2013 0:00:00,Hudson,Interstate
111,2,3 - Mid Day,Outbound,207.80,759.87,366.00,7/3/2013 0:00:00,Hudson,Interstate
111,2,4 - PM Peak,Inbound,712.47,406.50,57.00,7/3/2013 0:00:00,Hudson,Interstate
111,2,4 - PM Peak,Outbound,29.68,152.62,514.00,7/3/2013 0:00:00,Hudson,Interstate
111,2,5 - Evening,Inbound,300.57,256.06,85.00,7/3/2013 0:00:00,Hudson,Interstate
111,5,2 - AM Peak,Outbound,1009.33,1032.15,102.00,7/3/2013 0:00:00,Union,Interstate
111,5,3 - Mid Day,Inbound,77.92,185.47,238.00,7/3/2013 0:00:00,Union,Interstate
111,5,3 - Mid Day,Outbound,831.21,790.76,95.00,7/3/2013 0:00:00,Union,Interstate
111,5,4 - PM Peak,Inbound,129.87,307.15,236.00,7/3/2013 0:00:00,Union,Interstate
111,5,4 - PM Peak,Outbound,122.45,159.29,130.00,7/3/2013 0:00:00,Union,Interstate
111,5,5 - Evening,Inbound,77.92,191.57,246.00,7/3/2013 0:00:00,Union,Interstate
1,1,1 - Early AM,Inbound,162.74,138.37,85.00,7/3/2013 0:00:00,Essex,Local
1,1,1 - Early AM,Outbound,212.27,27.51,13.00,7/3/2013 0:00:00,Essex,Local
1,1,2 - AM Peak,Inbound,608.53,593.10,97.00,7/3/2013 0:00:00,Essex,Local
1,1,2 - AM Peak,Outbound,679.29,284.85,42.00,7/3/2013 0:00:00,Essex,Local
1,1,3 - Mid Day,Inbound,551.92,706.18,128.00,7/3/2013 0:00:00,Essex,Local
1,1,3 - Mid Day,Outbound,636.83,515.93,81.00,7/3/2013 0:00:00,Essex,Local
1,1,4 - PM Peak,Inbound,316.05,240.19,76.00,7/3/2013 0:00:00,Essex,Local
1,1,4 - PM Peak,Outbound,467.01,377.31,81.00,7/3/2013 0:00:00,Essex,Local
1,1,5 - Evening,Inbound,181.61,140.80,78.00,7/3/2013 0:00:00,Essex,Local
1,1,5 - Evening,Outbound,233.50,155.39,67.00,7/3/2013 0:00:00,Essex,Local
1,2,1 - Early AM,Inbound,820.81,457.79,56.00,7/3/2013 0:00:00,Essex,Local
1,2,1 - Early AM,Outbound,712.31,211.18,30.00,7/3/2013 0:00:00,Essex,Local
1,2,2 - AM Peak,Inbound,3368.15,1530.06,45.00,7/3/2013 0:00:00,Essex,Local
1,2,2 - AM Peak,Outbound,3549.77,1185.58,33.00,7/3/2013 0:00:00,Essex,Local
